# Source: /dune/data/users/lblpwg_tools/FastMC_Data/outputs/cherdack/v3r2p4b/nominal//fastmcNtp_20160404_lbne_g4lbnev3r2p4b_anuflux_numubarflux_nutaubar_LAr_1_g280_Ar40_5000_GENIE_2100.root
# Event cuts: "(EvClass_reco == 1 && Tau_Prob_nue > 0.6 && NC_Prob_nue > 0.75) && cc"
# True event type: cc
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 2, 1, 1, 2, 2, 1, 1, 0, 0, 0, 4, 2, 0, 1, 1, 3, 0, 1, 1, 2, 2, 1, 2, 1, 2, 0, 1, 1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 3, 0, 1, 0, 0, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 3, 1, 1, 1, 0, 2, 3, 1, 0, 0, 0, 0, 1, 2, 2, 1, 0, 1, 4, 0, 0, 0, 2, 2, 2, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 2, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 2, 2, 3, 4, 1, 1, 1, 0, 1, 0, 1, 2, 4, 0, 0, 3, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 0, 2, 2, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 1, 1, 0, 2, 1, 1, 2, 2, 5, 2, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 2, 1, 2, 0, 1, 0, 0, 0, 2, 3, 1, 2, 2, 1, 0, 1, 1, 2, 1, 2, 0, 1, 1, 1, 1, 1, 2, 0, 0, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 3, 3, 1, 2, 2, 1, 1, 0, 0, 0, 2, 2, 3, 1, 1, 1, 2, 2, 3, 0, 1, 2, 0, 1, 0, 1, 1, 3, 2, 1, 2, 0, 2, 0, 1, 0, 0, 2, 2, 1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 2, 3, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 0, 2, 3, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 0, 2, 2, 1, 0, 1, 1, 1, 3, 1, 2, 1, 0, 1, 0, 0, 3, 2, 1, 0, 1, 1, 2, 0, 0, 2, 2, 0, 1, 1, 1, 2, 2, 0, 0, 1, 2, 3, 0, 0, 1, 0, 0, 1, 3, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 4, 2, 0, 2, 2, 0, 4, 0, 0, 3, 0, 2, 1, 0, 2, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 2, 0, 0, 0, 3, 1, 0, 2, 2, 1, 0, 1, 0, 1, 2, 3, 0, 1, 0, 0, 0, 1, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 2, 1, 2, 1, 0, 0, 1, 3, 2, 1, 5, 2, 2, 0, 2, 3, 3, 1, 1, 3, 1, 2, 2, 1, 3, 1, 0, 2, 1, 0, 1, 0, 1, 2, 0, 1, 5, 2, 2, 2, 0, 2, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 2, 2, 1, 0, 3, 1, 1, 0, 0, 3, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 1, 1, 1, 0, 1, 0, 0, 1, 1, 2, 0, 1, 1, 0, 1, 2, 1, 2, 2, 0, 1, 0, 1, 3, 3, 0, 0, 2, 4, 0, 1, 0, 1, 0, 1, 0, 3, 2, 0, 3, 3, 0, 0, 1, 0, 2, 2, 2, 0, 0, 0, 1, 1, 1, 4, 1, 2, 0, 0, 0, 2, 0, 3, 0, 1, 0, 0, 2, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 0, 2, 2, 1, 2, 2, 5, 1, 2, 1, 1, 1, 0, 1, 2, 2, 1, 0, 1, 3, 1, 2, 3, 2, 1, 1, 1, 0, 2, 1, 1, 0, 1, 1, 3, 1, 1, 0, 2, 0, 1, 2, 1, 1, 1, 1, 3, 0, 1, 0, 1, 0, 0, 2, 1, 0, 0, 1, 3, 0, 0, 0, 3, 0, 1, 2, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 1, 1, 0, 0, 2, 1, 3, 2, 0, 1, 2, 1, 2, 3, 3, 2, 1, 0, 2, 1, 3, 1, 1, 2, 2, 0, 0, 1, 2, 2, 0, 2, 0, 1, 4, 1, 1, 0, 0, 2, 1, 1, 0, 1, 2, 1, 1, 0, 2, 0, 1, 2, 0, 2, 1, 1, 1, 1, 1, 0, 1, 2, 0, 4, 1, 1, 0, 0, 2, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 4, 0, 1, 0, 1, 3, 1, 1, 0, 2, 1, 1, 2, 1, 1, 0, 0, 2, 1, 1, 0, 0, 4, 5, 1, 0, 1, 1, 3, 2, 0, 2, 1, 0, 0, 0, 3, 2, 0, 0, 0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 3, 1, 2, 0, 1, 3, 4, 0, 1, 1, 2, 2, 3, 2, 1, 3, 2, 1, 1, 2, 1, 1, 5, 0, 3, 1, 0, 2, 4, 0, 0, 0, 0, 2, 0, 3, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 1, 1, 4, 2, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 1, 3, 1, 4, 3, 2, 2, 4, 0, 2, 1, 3, 1, 1, 0, 1, 2, 3, 2, 3, 3, 1, 0, 1, 2, 2, 2, 0, 1, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 2, 3, 1, 0, 0, 0, 2, 1, 2, 2, 1, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 2, 0, 2, 2, 1, 2, 1, 0, 2, 3, 1, 2, 1, 1, 1, 2, 0, 0, 2, 1, 1, 6, 1, 0, 0, 1, 0, 3, 1, 2, 0, 0, 5, 1, 1, 2, 1, 0, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 3, 1, 1, 1, 2, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 4, 0, 0, 0, 3, 1, 3, 0, 0, 0, 1, 2, 1, 1, 0, 1, 1, 3, 0, 0, 0, 2, 1, 1, 2, 0, 1, 0, 3, 1, 0, 2, 0, 1, 1, 0, 0, 1, 2, 3, 0, 0, 3, 0, 1, 0, 2, 0, 1, 1, 1, 2, 0, 0, 1, 1, 0, 0, 0, 2, 0, 3, 1, 2, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 4, 1, 1, 1, 3, 1, 1, 2, 0, 3, 3, 1, 1, 0, 2, 3, 0, 2, 1, 1, 1, 1, 0, 1, 0, 0, 2, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 4, 1, 0, 0, 2, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 2, 2, 1, 3, 1, 0, 3, 3, 1, 1, 1, 2, 1, 1, 1, 2, 3, 4, 1, 4, 0, 1, 0, 4, 3, 3, 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 2, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 1, 2, 1, 2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 4, 2, 2, 2, 2, 3, 2, 4, 1, 3, 3, 1, 0, 2, 2, 3, 1, 1, 2, 2, 0, 1, 2, 0, 0, 2, 2, 0, 1, 0, 0, 3, 1, 1, 2, 4, 2, 2, 0, 1, 0, 2, 1, 1, 1, 0, 2, 0, 0, 3, 1, 0, 2, 2, 0, 0, 1, 3, 0, 0, 0, 1, 1, 0, 0, 2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 1, 3, 0, 2, 1, 2, 1, 2, 0, 0, 3, 0, 1, 2, 3, 3, 2, 1, 0, 1, 3, 0, 1, 0, 2, 3, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 0, 0, 1, 3, 2, 1, 0, 1, 0, 2, 1, 1, 1, 0, 1, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 2, 1, 4, 0, 1, 2, 0, 1, 2, 0, 3, 3, 2, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 2, 0, 2, 1, 2, 0, 3, 2, 0, 1, 1, 1, 1, 0, 1, 1, 0, 2, 0, 3, 2, 0, 0, 1, 1, 1, 1, 3, 0, 3, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 2, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 3, 2, 2, 1, 2, 3, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 2, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 2, 1, 0, 0, 0, 1, 3, 1, 0, 2, 1, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 0, 1, 0, 0, 2, 0, 1, 3, 3, 0, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 0, 4, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 4, 1, 1, 1, 0, 1, 0, 1, 1, 1, 2, 0, 0, 1, 3, 0, 0, 2, 0, 2, 0, 3, 1, 1, 1, 0, 2, 1, 2, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 0, 2, 1, 1, 4, 2, 2, 2, 1, 0, 1, 1, 2, 2, 0, 0, 1, 0, 1, 1, 1, 2, 0, 1, 0, 3, 1, 1, 2, 0, 3, 1, 0, 1, 0, 0, 1, 0, 2, 1, 2, 0, 0, 1, 0, 0, 1, 2, 0, 0, 2, 0, 1, 0, 1, 1, 0, 3, 0, 1, 2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2, 0, 1, 0, 0, 0, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 3, 0, 2, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 2, 0, 1, 0, 0, 1, 3, 0, 2, 1, 0, 2, 0, 2, 0, 0, 0, 4, 4, 2, 1, 2, 0, 1, 0, 2, 2, 0, 1, 1, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 1, 0, 1, 2, 1, 1, 1, 1, 0, 1, 3, 0, 0, 4, 0, 3, 1, 0, 1, 1, 0, 3, 0, 0, 0, 1, 2, 1, 2, 3, 0, 1, 0, 1, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 1, 1, 0, 3, 0, 2, 0, 3, 2, 2, 1, 0, 0, 1, 2, 1, 1, 2, 0, 2, 1, 1, 0, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 2, 0, 2, 2, 0, 1, 0, 0, 0, 2, 1, 2, 0, 0, 0, 2
